dataset,publisher,license,formats,size_kb,datastore,external,category,content,tier,verdict,collector_status,note
"data.gov.il:ararim","ministry_of_justice","cc-by","CSV/PDF","11283","true","false","tribunal_decisions","full_documents","1","OPEN_WITH_OBLIGATIONS","ready_to_build","החלטות בתי הדין לעררים — CSV + PDF מלאים"
"data.gov.il:mishmoret","ministry_of_justice","cc-by","CSV/PDF","25784","true","false","tribunal_decisions","full_documents","1","OPEN_WITH_OBLIGATIONS","ready_to_build","החלטות בתי הדין למשמורת — CSV + PDF מלאים"
"data.gov.il:judgments","ministry_of_justice","other-open","CSV/PDF","1113","true","false","court_metadata","metadata_plus_summary","1","VERIFIED_OPEN","ready_to_build","פסקי דין חופש-מידע 2021 — מס' הליך; צדדים; מחוז; תמצית; הוצאות"
"data.gov.il:ica_companies","ministry_of_justice","other-open","CSV/PDF","248000","true","false","company_registry","registry_records","2","VERIFIED_OPEN","ready_to_build","רשם החברות — רשומות"
"data.gov.il:ica-changes","ministry_of_justice","cc-by","CSV/PDF","0","true","false","company_registry","registry_records","2","OPEN_WITH_OBLIGATIONS","ready_to_build","רשם החברות — שינויים"
"data.gov.il:ica_partnerships","ministry_of_justice","cc-by","CSV/PDF","0","true","false","company_registry","registry_records","2","OPEN_WITH_OBLIGATIONS","ready_to_build","רשם השותפויות"
"data.gov.il:membership-in-liquidation","ministry_of_justice","cc-by","CSV/PDF","0","true","false","company_registry","registry_records","2","OPEN_WITH_OBLIGATIONS","ready_to_build","חברות בפירוק"
"data.gov.il:moj-amutot","ministry_of_justice","other-open","CSV/PDF","0","true","false","nonprofit_registry","registry_records","2","VERIFIED_OPEN","ready_to_build","רשם העמותות"
"data.gov.il:simaneymisahr","ministry_of_justice","other-open","CSV/PDF","720780","true","false","trademarks","registry_records","2","VERIFIED_OPEN","ready_to_build","בקשות סימני מסחר"
"data.gov.il:mamtziim_patents","ministry_of_justice","cc-by","CSV/PDF","34486","true","false","patents","registry_records","2","OPEN_WITH_OBLIGATIONS","ready_to_build","ממציאים — בקשות פטנט"
"data.gov.il:halicim_bateydin","ministry_of_justice","cc-by","CSV/PDF","2198","true","false","patents","registry_records","2","OPEN_WITH_OBLIGATIONS","ready_to_build","הליכים ברשם הפטנטים"
"data.gov.il:yerusha","ministry_of_justice","cc-by","CSV/PDF","313334","true","false","inheritance","registry_records","2","OPEN_WITH_OBLIGATIONS","ready_to_build","רשם לענייני ירושה"
"data.gov.il:hekdeshot","ministry_of_justice","cc-by","CSV/PDF","2831","true","false","inheritance","registry_records","2","OPEN_WITH_OBLIGATIONS","ready_to_build","הקדשות ציבוריים"
"data.gov.il:mashkonot","ministry_of_justice","cc-by","CSV/PDF","0","true","false","legal_reference","registry_records","2","OPEN_WITH_OBLIGATIONS","ready_to_build","רשם המשכונות"
"data.gov.il:britzugiyut","ministry_of_justice","cc-by","CSV","0","true","false","legal_reference","registry_records","2","OPEN_WITH_OBLIGATIONS","ready_to_build","מרשם ברית הזוגיות"
"data.gov.il:regulationdatabase","regulatory-authority","other-open","XLSX","818","true","false","regulation","reference","2","VERIFIED_OPEN","ready_to_build","מאגר רגולציה (חוק עקרונות האסדרה)"
