publicationItemId,pdfSha256,sizeBytes,pageCount,pagesWithText,textLayerCoverage,chars,ocrUsed,status
146866,1a9a48d21acfe973067e3c6c70e9b87a19348bc402be6212ba97bd646e5e665c,81320,1,1,1,2353,false,extracted
147014,587bd343d5e2bc2d736bc4c8f791e6e11262cb49a373ba2f1e637506fb0bb6c9,61326,1,1,1,1269,false,extracted
147015,21008c2bdbd0529b68cbfe581747add79d4ddacc740594739a940209861e3ca8,57647,1,1,1,1786,false,extracted
147017,84639719af3337398a0bf2e4404453503616ad4ed95bfe2c300832a822daca58,114426,2,2,1,3323,false,extracted
147018,8fab161cd120effcdd84dee7afafad017cd7cb5b5662072441d65e92d09a4142,50351,2,1,0.5,1161,false,quarantined
147019,caa9ce9d7e4182c753a80299c653e5f3f463b07b79ba5e33a6666f7f67765b5a,106443,2,2,1,3371,false,extracted
147020,ddb890fcab3a265432e8eeacd5b2a365b71b836b256c3a0621cec9fc4a70eb25,44234,1,1,1,1067,false,extracted
147023,755c057f64d094d0b820efae2f1fc981608ede38ae4ace655b7d02d19d19dffe,59810,1,1,1,1937,false,extracted
147462,197ecfb74c7f4da92ea965eaecea7a44c1acde6086b38088ca483a41ca0fdb63,66289,1,1,1,638,false,extracted
148275,9bd70a2ac93a8a08fce10493f9e170e2ecd1be1750dc12e748b572d8bb3be7b2,67242,1,1,1,2402,false,extracted
148920,e3269f4067304d67ea226fb48b7f045370ff7d88f15d88a376cd993da1b31769,61461,1,1,1,1016,false,extracted
171072,b688e16202e6081ac0341901e1569d12be46d52c8c91ed43c2b4f3ec1d27cdcb,386411,11,11,1,25565,false,extracted
173930,caec7784cad7786477283eee04518d73b8701ea6925715f98bbf1e9f7f7fc311,46868,1,1,1,446,false,extracted
174450,e33bc16c88a415c4c10351930f7783784f7b12aa524c94a78160e918275712bb,177044,4,4,1,8442,false,extracted
174534,3cedbbb3bf60913084373cb90683d6f47955d126b1e5e1b6854fab12a929a991,256213,5,5,1,13029,false,extracted
178727,1fe26d8e1623cf425ff106b8120d8b67f7f6882083d7a1c2c464b860e5012b18,98574,1,1,1,1955,false,extracted
242258,280ac0263e1c31950b75415da20d0f3b6bc8e9f719a295ccadeb100fefad002d,347001,16,16,1,49362,false,extracted
247148,865de7aecc7d44327ed5214a4ffcda78a729c4a2cf8ef53ce20c319141bda1ef,59763,3,3,1,8616,false,extracted
305792,8fe2700478e2fe256a92bec5458306923252b853bd4ba46835e51a023c21f099,348846,16,16,1,47536,false,extracted
355530,bb060c378b405bb81129f06a45c86b78a03fedf86ccdc22158f880176bfeb603,180658,13,13,1,37740,false,extracted
482554,70c5c845fc282b8bd59cbc0f9db5f49c6b372a12b820b57eb5a6748c11ec6704,52457,1,1,1,1699,false,extracted
568878,32ded4b51164708b6f26ed4ef5221eb6de2dba38f90ddcae835bbc7f9de198c7,1592194,180,179,0.994,563891,false,extracted
2002228,a464d0e6afc1d229845a4fc0231da96008b9039568a831a6f123002d0be1731f,880814,15,15,1,43771,false,extracted
2002229,a4be295db50db6601f2a989050263ec809441cca9481b76e23b266b29770d1e9,1506931,26,26,1,75262,false,extracted
2140800,4c7bb8a41f4a88e0fe176bc4f71b19c4230842740a655774f10b52ef61268c63,96723,2,2,1,1402,false,extracted
2159663,36cf772d640a3087f879398a6959de33026996fcea7a4f08d38a0f3e117cd9b4,102906,2,2,1,2473,false,extracted
2161465,9c7335d9cdcf7dcb288abc090d0ce45a5d9ed434ef7e5f81de0873158c30d8ee,165100,8,6,0.75,15838,false,quarantined
2199304,5503bce882c9b5bd5ef7c727549a76f40584b4dff2870ade91c66c984a8a3697,267659,14,14,1,38658,false,extracted
2201200,bc5991b150a441d5376c3c58cf61d66092a4b9ea5631459833e3ad574f7d6a02,115586,4,4,1,8572,false,extracted
2201568,99e384dda5ca6bff74e178d67dca69500a1cb5f0cdd6feac181920ef6a3e0343,103660,2,2,1,2220,false,extracted
2207472,97b5318c9707302ff072afaa72b43ca3ce8e5ad7cb0fbf91f67aa339cc96de65,97009,2,2,1,1267,false,extracted
