israelLawId,publicationCanonicalId,docType,correctionType,correctionNumber,publicationDate,publicationSeries,magazineNumber,pageNumber,pdfUrl,contentLevel,consolidationStatus,authorityLevel,amendmentEventId,chainIndex
2000048,,original_enactment,ישיר,,1960-07-29,ספר החוקים,312,56,https://fs.knesset.gov.il/4/law/4_lsr_208449.PDF,full_text,non_consolidated_publication,primary_official,,0
2000022,,original_enactment,ישיר,,1965-08-01,ספר החוקים,466,288,https://fs.knesset.gov.il/5/law/5_lsr_209761.PDF,full_text,non_consolidated_publication,primary_official,,0
2000072,,original_enactment,ישיר,,1974-12-26,ספר החוקים,753,30,https://fs.knesset.gov.il/8/law/8_lsr_207897.PDF,full_text,non_consolidated_publication,primary_official,,0
2000031,,original_enactment,ישיר,,2010-06-13,ספר החוקים,2242,520,https://fs.knesset.gov.il/18/law/18_lsr_300729.pdf,full_text,non_consolidated_publication,primary_official,,0
2000031,,amendment_law,עקיף,,2010-12-09,ספר החוקים,2264,86,https://fs.knesset.gov.il/18/law/18_lsr_301220.pdf,full_text,non_consolidated_publication,primary_official,knesset:law:2000031:pub:355530,1
2000031,,amendment_law,עקיף,,2021-10-12,ספר החוקים,2929,4,https://fs.knesset.gov.il/24/law/24_lsr_608417.pdf,full_text,non_consolidated_publication,primary_official,knesset:law:2000031:pub:2161465,2
2000031,,amendment_law,עקיף,2,2023-02-09,ספר החוקים,3016,18,https://fs.knesset.gov.il/25/law/25_lsr_1783627.pdf,full_text,non_consolidated_publication,primary_official,knesset:law:2000031:correction:2,3
2000015,,original_enactment,ישיר,,2001-07-24,ספר החוקים,1799,436,https://fs.knesset.gov.il/15/law/15_lsr_300392.pdf,full_text,non_consolidated_publication,primary_official,,0
2000015,,correction,ישיר,,2006-12-28,ספר החוקים,2074,31,https://fs.knesset.gov.il/17/law/17_lsr_300641.pdf,full_text,non_consolidated_publication,primary_official,knesset:law:2000015:pub:178727,1
2000015,,correction,ישיר,,2008-03-27,ספר החוקים,2142,383,https://fs.knesset.gov.il/17/law/17_lsr_300749.pdf,full_text,non_consolidated_publication,primary_official,knesset:law:2000015:pub:247148,2
2000015,,amendment_law,עקיף,3,2023-02-09,ספר החוקים,3016,22,https://fs.knesset.gov.il/25/law/25_lsr_1783627.pdf,full_text,non_consolidated_publication,primary_official,knesset:law:2000015:correction:3,3
2000042,,original_enactment,ישיר,,1984-03-08,ספר החוקים,1110,78,https://fs.knesset.gov.il/10/law/10_lsr_211737.PDF,full_text,non_consolidated_publication,primary_official,,0
2000042,,amendment_law,עקיף,1,1992-02-13,ספר החוקים,1383,72,https://fs.knesset.gov.il/12/law/12_lsr_211794.PDF,full_text,non_consolidated_publication,primary_official,knesset:law:2000042:correction:1,1
2000042,,correction,ישיר,2,2002-08-05,ספר החוקים,1864,598,https://fs.knesset.gov.il/15/law/15_lsr_300551.pdf,full_text,non_consolidated_publication,primary_official,knesset:law:2000042:correction:2,2
2000042,,correction,ישיר,3,2023-07-26,ספר החוקים,3066,548,https://fs.knesset.gov.il/25/law/25_lsr_2997865.pdf,full_text,non_consolidated_publication,primary_official,knesset:law:2000042:correction:3,3
