rank,source,domain,sourceType,ownerType,verdict,technicalStatus,legalReuseStatus,collectorStatus,estimatedDocuments,coverageScore,accessScore,metadataQualityScore,documentQualityScore,legalClarityScore,priorityScore,recommendedAccessMethod,requiredAction,lastAudited
"1","Judgments.org.il","judgments.org.il","document_repository","commercial","REVIEW","open","unknown","audit_required","","15","100","0","0","0","30","wp-json REST API","run and complete a full audit","2026-08-05"
"2","data.gov.il","data.gov.il","open_data","official","REVIEW","open","unknown","audit_required","5036","56","50","0","0","0","29","sitemap-driven fetch","run and complete a full audit","2026-08-05"
"3","רשות ניירות ערך","isa.gov.il","regulator","official","REVIEW","open","unknown","audit_required","","15","50","0","0","0","17","sitemap-driven fetch","run and complete a full audit","2026-08-05"
"4","תקדין (מסחרי)","takdin.co.il","commercial_database","commercial","BLOCKED","authentication_required","unknown","blocked","5","10","35","0","0","0","12","sitemap-driven fetch","run and complete a full audit","2026-08-05"
"5","הרשות השופטת","court.gov.il","court","official","REVIEW","open","unknown","audit_required","","0","35","0","0","0","9","","run and complete a full audit","2026-08-05"
"6","בית המשפט העליון — פסיקה","supremedecisions.court.gov.il","court","official","REVIEW","open","unknown","audit_required","","0","35","0","0","0","9","","run and complete a full audit","2026-08-05"
"7","בתי הדין לעבודה","court.gov.il","court","official","REVIEW","open","unknown","audit_required","","0","35","0","0","0","9","","run and complete a full audit","2026-08-05"
"8","מערכת בתי הדין (unicourt)","unicourt.justice.gov.il","tribunal","official","REVIEW","open","unknown","audit_required","","0","35","0","0","0","9","","run and complete a full audit","2026-08-05"
"9","נבו (מסחרי)","nevo.co.il","commercial_database","commercial","BLOCKED","robots_disallowed","unknown","blocked","","0","15","0","0","0","4","RSS/Atom feed","run and complete a full audit","2026-08-05"
"10","gov.il — dynamic collectors","gov.il","official_government","official","BLOCKED","waf_blocked","unknown","blocked","","0","10","0","0","0","3","","run and complete a full audit","2026-08-05"
"11","בתי הדין הרבניים","gov.il","tribunal","official","BLOCKED","waf_blocked","unknown","blocked","","0","10","0","0","0","3","","run and complete a full audit","2026-08-05"
"12","המפקחים על רישום מקרקעין","gov.il","tribunal","official","BLOCKED","waf_blocked","unknown","blocked","","0","10","0","0","0","3","","run and complete a full audit","2026-08-05"
"13","בתי דין מנהליים / ועדות ערר","gov.il","tribunal","official","BLOCKED","waf_blocked","unknown","blocked","","0","10","0","0","0","3","","run and complete a full audit","2026-08-05"
"14","רשות התחרות","gov.il","regulator","official","BLOCKED","waf_blocked","unknown","blocked","","0","10","0","0","0","3","","run and complete a full audit","2026-08-05"
"15","רשות המסים","gov.il","regulator","official","BLOCKED","waf_blocked","unknown","blocked","","0","10","0","0","0","3","","run and complete a full audit","2026-08-05"
"16","ארכיון המדינה","gov.il","archive","official","BLOCKED","waf_blocked","unknown","blocked","","0","10","0","0","0","3","","run and complete a full audit","2026-08-05"
