id,name,url,type,owner,evidence,publishers,datasets,resources,confidence,api_kind,access,tier,platform_score
"data_gov_il","data.gov.il","https://data.gov.il/","CKAN","official","VERIFIED","58","1200","4000","high","CKAN REST","open","Tier 1","86"
"knesset_odata","הכנסת — OData ParliamentInfo","https://knesset.gov.il/OdataV4/ParliamentInfo/","Legislation Portal","official","VERIFIED","1","48","500000","high","OData v4","open","Tier 1","77"
"kolzchut","כל זכות","https://www.kolzchut.org.il/","Wiki/Reference","non_profit","VERIFIED","1","7347","16033","high","MediaWiki API","open","Tier 2","78"
"gov_il","gov.il — Government Portal","https://www.gov.il/","Government Portal","official","VERIFIED","90","","","medium","none (dynamic collectors)","waf_blocked","Tier 2","38"
"supreme_court","בית המשפט העליון — פסיקה","https://supremedecisions.court.gov.il/","Court Portal","official","VERIFIED","1","","300000","medium","SearchVerdicts (anti-bot)","waf_blocked","Tier 1","42"
"net_hamishpat","נט המשפט — חיפוש פסיקה ציבורי","https://www.court.gov.il/","Court System","official","VERIFIED","1","","2000000","low","public search (restricted)","waf_blocked","Tier 1","41"
"judgments_org_il","Judgments.org.il","https://judgments.org.il/","Document Repository","commercial","VERIFIED","1","","500000","medium","WordPress wp-json","open_but_ask","Tier 2","47"
"isa","רשות ניירות ערך","https://www.isa.gov.il/","Regulatory Portal","official","VERIFIED","1","","","low","site search","open","Tier 3","29"
"rabbinical_courts","בתי הדין הרבניים — פסיקה","https://www.gov.il/he/departments/rbc","Court Portal","official","ESTIMATED","1","","","low","site search (est)","waf_blocked","Tier 2","30"
"boi","בנק ישראל","https://www.boi.org.il/","Regulatory Portal","official","ESTIMATED","1","","","low","site + some data (est)","unknown","Tier 3","33"
"competition_authority","רשות התחרות","https://www.gov.il/he/departments/competition_authority","Regulatory Portal","official","ESTIMATED","1","","","low","gov.il (est)","waf_blocked","Tier 3","26"
"cma","רשות שוק ההון, ביטוח וחיסכון","https://www.gov.il/he/departments/mof_capital_market","Regulatory Portal","official","ESTIMATED","1","","","low","gov.il (est)","waf_blocked","Tier 3","26"
"privacy_authority","הרשות להגנת הפרטיות","https://www.gov.il/he/departments/the_privacy_protection_authority","Regulatory Portal","official","ESTIMATED","1","","","low","gov.il (est)","waf_blocked","Tier 3","26"
"tax_rulings","רשות המסים — החלטות מיסוי","https://www.gov.il/he/departments/israel_tax_authority","Regulatory Portal","official","ESTIMATED","1","","","low","gov.il + some CKAN (est)","waf_blocked","Tier 2","31"
"ilpo","רשות הפטנטים (ILPO)","https://www.gov.il/he/departments/ilpo","Regulatory Portal","official","ESTIMATED","1","","","medium","databases + CKAN mirror (est)","unknown","Tier 2","40"
"state_archives","ארכיון המדינה","https://www.archives.gov.il/","Digital Archive","official","ESTIMATED","1","","","low","catalog/API (est)","unknown","Tier 3","37"
"nli","הספרייה הלאומית (NLI)","https://www.nli.org.il/","Digital Library/Archive","public","ESTIMATED","1","","","medium","API + OAI-PMH (est)","open","Tier 2","50"
"univ_repositories","מאגרים מוסדיים אקדמיים (OAI-PMH)","https://www.openu.ac.il/","Institutional Repository","academic","ESTIMATED","8","","","low","OAI-PMH (est, per-univ)","open","Tier 3","46"
"nevo","נבו","https://www.nevo.co.il/","Legal Database","commercial","VERIFIED","1","","3000000","low","none (robots disallow)","robots_disallowed","Reject","31"
"takdin","תקדין","https://www.takdin.co.il/","Legal Database","commercial","VERIFIED","1","","2000000","low","none (login)","authentication_required","Reject","30"
"reshumot","רשומות — הפרסום הרשמי","https://www.gov.il/he/departments/publications/reports/reshumot","Legislation/Gazette Portal","official","ESTIMATED","1","","","low","gov.il (est)","waf_blocked","Tier 2","32"
"din_co_il","Din — פורטל משפטי","https://www.din.co.il/","Document Repository","commercial","ESTIMATED","1","","","low","site (est)","unknown","Tier 3","27"
