israelLawId,officialTitle,validity,correctionCount,pdfCount,openBookUrl,urlAccessible,fullTextPresent,consolidatedStatus,lastUpdateDisplayed,officialLatestAmendment,freshnessMatch,officialIdInUrl,identityResolution,authorityLevel,license
2000001,"חוק רשות הפיתוח (העברת נכסים), התש""י-1950",תקף,2,2,https://he.wikisource.org/wiki/חוק_רשות_פיתוח_(העברת_נכסים),true,true,community_consolidated,2025-12-17,1960-07-29,true,false,high_confidence_backlink,community_reference,CC-BY-SA-4.0
2000002,"חוק התקשורת (בזק ושידורים), התשמ""ב-1982",תקף,115,95,https://he.wikisource.org/wiki/חוק_התקשורת_(בזק_ושידורים),true,true,community_consolidated,2026-03-18,2026-07-28,false,false,high_confidence_backlink,community_reference,CC-BY-SA-4.0
2000003,"חוק הבחירות לכנסת, התשי""ט-1959 [נוסח משולב]",בטל,12,11,,,,no_openbook,,1969-04-14,,false,unmatched,community_reference,CC-BY-SA-4.0
2000004,"חוק המילוות (מוסדות כספיים) (הוראות שונות), התש""ך-1960",נושן,1,1,,,,no_openbook,,1960-08-18,,false,unmatched,community_reference,CC-BY-SA-4.0
2000008,"חוק תשלומי הפרשים על מטבע חוץ, התשט""ו-1955",פקע,1,1,,,,no_openbook,,1955-06-09,,false,unmatched,community_reference,CC-BY-SA-4.0
2000010,"פקודת הפיקוח על פרי ההדר, 1940",בטל,10,10,,,,no_openbook,,2003-06-01,,false,unmatched,community_reference,CC-BY-SA-4.0
2000012,"חוק שכר שווה לעובדת ולעובד, התשכ""ד-1964",בטל,4,3,,,,no_openbook,,1996-03-21,,false,unmatched,community_reference,CC-BY-SA-4.0
2000015,"חוק שמאי מקרקעין, התשס""א-2001",תקף,4,4,https://he.wikisource.org/wiki/חוק_שמאי_מקרקעין,true,true,community_consolidated,2024-09-23,2023-02-09,true,false,high_confidence_backlink_title_ambiguous,community_reference,CC-BY-SA-4.0
2000016,"חוק שמאי מקרקעין, התשכ""ב-1962",בטל,2,2,,,,no_openbook,,2001-07-24,,false,unmatched,community_reference,CC-BY-SA-4.0
2000017,"חוק שמירת הניקיון, התשמ""ד-1984",תקף,34,32,https://he.wikisource.org/wiki/חוק_שמירת_הנקיון,true,true,community_consolidated,2026-03-02,2026-07-27,false,false,high_confidence_backlink,community_reference,CC-BY-SA-4.0
2000021,"חוק תאגידי מים וביוב, התשס""א-2001",תקף,21,20,https://he.wikisource.org/wiki/חוק_תאגידי_מים_וביוב,true,true,community_consolidated,2026-08-04,2026-02-10,true,false,high_confidence_backlink,community_reference,CC-BY-SA-4.0
2000022,"חוק תגמול לחייל הנפגע בהצלת חיי הזולת, התשכ""ה-1965",תקף,1,1,https://he.wikisource.org/wiki/חוק_תגמול_לחייל_הנפגע_בהצלת_חיי_הזולת,true,true,community_consolidated,2023-07-25,1965-08-01,true,false,high_confidence_backlink,community_reference,CC-BY-SA-4.0
2000025,"חוק תגמולים לנשים השוהות במקלט לנשים מוכות (מענק הסתגלות) (הוראת שעה), התשס""ב-2002",פקע,1,1,,,,no_openbook,,2002-08-01,,false,unmatched,community_reference,CC-BY-SA-4.0
2000026,"חוק תובענות ייצוגיות, התשס""ו-2006",תקף,17,17,https://he.wikisource.org/wiki/חוק_תובענות_ייצוגיות,true,true,community_consolidated,2026-07-28,2026-07-28,true,false,high_confidence_backlink,community_reference,CC-BY-SA-4.0
2000027,"חוק תחנת הכוח תל-אביב, התשכ""ז-1967",בטל,2,2,,,,no_openbook,,1994-06-09,,false,unmatched,community_reference,CC-BY-SA-4.0
2000028,"חוק תכנון משק החלב בישראל, התשנ""ב-1992",בטל,3,3,,,,no_openbook,,2011-04-06,,false,unmatched,community_reference,CC-BY-SA-4.0
2000029,"חוק תכנון משק החלב, התשע""א-2011",תקף,7,6,https://he.wikisource.org/wiki/חוק_תכנון_משק_החלב,true,true,community_consolidated,2026-06-10,2023-03-01,true,false,high_confidence_backlink,community_reference,CC-BY-SA-4.0
2000031,"חוק תרומת ביציות, התש""ע-2010",תקף,4,4,https://he.wikisource.org/wiki/חוק_תרומת_ביציות,true,true,community_consolidated,2026-01-26,2023-02-09,true,false,high_confidence_backlink,community_reference,CC-BY-SA-4.0
2000037,חוק-יסוד: הכנסת,תקף,57,56,https://he.wikisource.org/wiki/חוק-יסוד:_הכנסת,true,true,community_consolidated,2025-05-15,2025-05-13,true,false,high_confidence_backlink,community_reference,CC-BY-SA-4.0
2000038,"חוק-יסוד: הממשלה [התשכ""ח]",בטל,13,11,,,,no_openbook,,1996-01-31,,false,unmatched,community_reference,CC-BY-SA-4.0
2000039,"חוק-יסוד: הממשלה [התשנ""ב]",בטל,14,13,,,,no_openbook,,2001-03-18,,false,unmatched,community_reference,CC-BY-SA-4.0
2000040,"חוק-יסוד: הממשלה [התשס""א]",תקף,14,14,https://he.wikisource.org/wiki/חוק-יסוד:_הממשלה,true,true,community_consolidated,2026-03-30,2025-05-13,true,false,high_confidence_backlink,community_reference,CC-BY-SA-4.0
2000041,חוק-יסוד: הצבא,תקף,2,1,https://he.wikisource.org/wiki/חוק-יסוד:_הצבא,true,true,community_consolidated,2025-07-27,1976-07-15,true,false,high_confidence_backlink,community_reference,CC-BY-SA-4.0
2000042,חוק-יסוד: השפיטה,תקף,5,5,https://he.wikisource.org/wiki/חוק-יסוד:_השפיטה,true,true,community_consolidated,2026-06-14,2025-04-01,true,false,high_confidence_backlink,community_reference,CC-BY-SA-4.0
2000043,"חוק-יסוד: חופש העיסוק [התשנ""ב]",בטל,2,2,https://he.wikisource.org/wiki/חוק-יסוד:_חופש_העיסוק_(1992),true,true,community_consolidated,2025-01-02,1994-03-10,true,false,high_confidence_backlink,community_reference,CC-BY-SA-4.0
2000048,חוק-יסוד: מקרקעי ישראל,תקף,1,1,https://he.wikisource.org/wiki/חוק-יסוד:_מקרקעי_ישראל,true,true,community_consolidated,2024-05-08,1960-07-29,true,false,high_confidence_backlink,community_reference,CC-BY-SA-4.0
2000053,"חוק איגרות מדינת ישראל (מלווה העצמאות), התשי""א-1951",נושן,2,2,,,,no_openbook,,1959-01-23,,false,unmatched,community_reference,CC-BY-SA-4.0
2000054,"חוק אגרת לימוד במוסדות להשכלה גבוהה (הוראת שעה), התשמ""ה-1985",פקע,3,2,,,,no_openbook,,1985-10-01,,false,unmatched,community_reference,CC-BY-SA-4.0
2000057,"חוק אזורי נמל חופשיים, התשכ""ט-1969",תקף,2,2,https://he.wikisource.org/wiki/חוק_אזורי_נמל_חפשיים,true,true,community_consolidated,2024-02-16,1976-04-09,true,false,high_confidence_backlink,community_reference,CC-BY-SA-4.0
2000060,"חוק איגרות חוב למוכ""ז של ממשלת ארץ-ישראל, התשי""א-1951",נושן,1,1,,,,no_openbook,,1951-03-08,,false,unmatched,community_reference,CC-BY-SA-4.0
2000061,"חוק איגרות חוב של חברת החשמל לא""י בע""מ (ערבות ופטור ממס), התשט""ו-1955",נושן,1,1,,,,no_openbook,,1955-06-30,,false,unmatched,community_reference,CC-BY-SA-4.0
2000062,"חוק איגרות מדינת ישראל (הנפק שני להשקעות פיתוח), התשכ""ח-1968",נושן,1,1,,,,no_openbook,,1968-07-16,,false,unmatched,community_reference,CC-BY-SA-4.0
2000072,"חוק אכסון עולים בדירות שכורות, התשל""ה-1974",תקף,1,1,https://he.wikisource.org/wiki/חוק_אכסון_עולים_בדירות_שכורות,true,true,community_consolidated,2023-07-25,1974-12-26,true,false,high_confidence_backlink,community_reference,CC-BY-SA-4.0
